Jurisdiction,Region,State,GeoID,Population
Bates,HCC,MO,29013,16172
Benton,HCC,MO,29015,19443
Carroll,HCC,MO,29033,8679
Cass,MARC,MO,29037,105780
Cass (No KCMO),MARC,MO,29037NoKC,105580
Clay,MARC,MO,29047,249948
Clay (No KCMO),MARC,MO,29047NoKC,121716
HCC,HCC,,HCC,241006
Henry,HCC,MO,29083,21824
Jackson,MARC,MO,29095,703011
Jackson (No KCMO),MARC,MO,29095NoKC,386175
Johnson,MARC,KS,20091,602401
Johnson,HCC,MO,29101,54062
Kansas,State,KS,20,2913314
Kansas (In MARC),StateMARC,KS,20MARCReg,883825
KCMO,MARC,MO,2938000,491918
Lafayette,HCC,MO,29107,32708
Leavenworth,MARC,KS,20103,81758
MARC,MARC,,MARC,2070000
Miami,MARC,KS,20121,34237
Missouri,State,MO,29,6137428
Missouri (In MARC),StateMARC,MO,29MARCReg,1186175
Pettis,HCC,MO,29159,42339
Platte,MARC,MO,29165,104418
Platte (No KCMO),MARC,MO,29165NoKC,54359
Ray,MARC_HCC,MO,29177,23018
Saline,HCC,MO,29195,22761
Wyandotte,MARC,KS,20209,165429
Southern HCC,HCCRegion,MO,HCCSouth,153840
Northern HCC,HCCRegion,MO,HCCNorth,87166
